ID,Japanese_Text,English_Text,Japanese_Female_Sound,Japanese_Male_Sound
lesson_ja_l9_v12,普通,"normal, ordinary",,
lesson_ja_l9_v13,よく,nicely; properly; well,,
lesson_ja_l9_v14,誰,who,,
lesson_ja_l9_v15,しれる,to become known; to come to light; to be discovered,,
lesson_ja_l9_v16,てく,go on doing (short for ていく),,
lesson_ja_l9_v17,ありがとう,thanks,,
lesson_ja_l9_d0,これ全部食べるの？,You're eating all of this?,,
lesson_ja_l9_d1,いや、半分でいいや。,"Nah, half's fine.",,
lesson_ja_l9_d2,なるほど。じゃあ残りは？,"Ah, right. What about the rest?",,
lesson_ja_l9_d3,誰か食べるでしょ。出しとくね。,Someone'll have it. I'll leave it out.,,
lesson_ja_l10_0,もう帰る？,Heading off already?,,
lesson_ja_l10_1,これが一番好き。,This is my favourite.,,
lesson_ja_l10_2,ちょっと待って。,Hang on a sec.,,
lesson_ja_l10_3,いつでもいいよ。,Any time works.,,
lesson_ja_l10_v0,しか,only; nothing but (with a negative),,
lesson_ja_l10_v1,確か,if I remember rightly,,
lesson_ja_l10_v2,いつ,when,,
lesson_ja_l10_v3,帰る,to return; to come home; to go home,,
lesson_ja_l10_v4,こんな,this sort of; this kind of; like this,,
lesson_ja_l10_v5,子,a child; a kid,,
lesson_ja_l10_v6,好き,liked; well-liked; favourite,,
lesson_ja_l10_v7,いっぱい,full; loads of,,
lesson_ja_l10_v8,六,six,,
lesson_ja_l10_v9,一番,"the most, number one",,
lesson_ja_l10_v10,分,"a portion, a share",,
lesson_ja_l10_v11,られる,passive/potential/honorific ending,,
lesson_ja_l10_v12,一緒,together; the same,,
lesson_ja_l10_v13,くださる,to give — honorific くれる,,
lesson_ja_l10_v14,待つ,to wait; to await; to look forward to,,
lesson_ja_l10_v15,八,eight,,
lesson_ja_l10_v16,嫌,unpleasant; no thanks,,
lesson_ja_l10_v17,僕,"I, me — men, softer than 俺",,
lesson_ja_l10_d0,いつ帰る？,When are you heading home?,,
lesson_ja_l10_d1,んー、八時くらいかな。,"Mm, around eight, I reckon.",,
lesson_ja_l10_d2,じゃあ待ってるね。一緒に行こう。,"I'll wait, then. Let's go together.",,
lesson_ja_l10_d3,ほんと？助かる。,Really? You're a lifesaver.,,
lesson_ja_l11_0,ごめん、忘れてた。,Sorry — I forgot.,,
lesson_ja_l11_1,同じのください。,"I'll have the same, please.",,
lesson_ja_l11_2,それ面白いね。,That's interesting.,,
lesson_ja_l11_3,ちゃんと考えてる？,Have you actually thought this through?,,
lesson_ja_l11_v0,考える,"to think (about, of); to think over; to ponder",,
lesson_ja_l11_v1,同じ,same; identical; equal,,
lesson_ja_l11_v2,すむ,"to be settled, to get by",,
lesson_ja_l11_v3,上,above; up; over,,
lesson_ja_l11_v4,あげる,to give (outward); to raise,,
lesson_ja_l11_v5,おく,to put; to place; to leave (behind),,
lesson_ja_l11_v6,ちゃんと,"properly, as one should",,
lesson_ja_l11_v7,ずっと,all along; far more,,
lesson_ja_l11_v8,九,nine,,
lesson_ja_l11_v9,多い,"many, a lot of",,
lesson_ja_l11_v10,いただく,to receive (humble),,
lesson_ja_l11_v11,母,mother — my own,,
lesson_ja_l11_v12,止める,"to stop (something), to park",,
lesson_ja_l11_v13,ごめん,sorry — casual,,
lesson_ja_l11_v14,面白い,interesting; funny,,
lesson_ja_l11_v15,百,100; hundred,,
lesson_ja_l11_v16,ござる,to be,,
lesson_ja_l11_v17,七,seven; hepta-,,
lesson_ja_l11_d0,ごめん、ちょっと遅れる。,Sorry — I'm going to be a bit late.,,
lesson_ja_l11_d1,大丈夫、ずっと待ってるから。,"No worries, I'll be here.",,
lesson_ja_l11_d2,ほんとごめん。,Really sorry.,,
lesson_ja_l11_d3,いいって。気をつけて来て。,It's fine. Just get here safely.,,
lesson_ja_l12_0,絶対無理。,Absolutely not happening.,,
lesson_ja_l12_1,この辺、家賃高いよ。,Rent's expensive round here.,,
lesson_ja_l12_2,一応持ってきた。,"I brought it, just in case.",,
lesson_ja_l12_3,これ、めっちゃうまい。,This is seriously good.,,
lesson_ja_l12_v0,高い,tall; expensive,,
lesson_ja_l12_v1,絶対,"definitely, absolutely",,
lesson_ja_l12_v2,一人,one person; alone,,
lesson_ja_l12_v3,早い,fast; quick; hasty,,
lesson_ja_l12_v4,万,"10,000; ten thousand; myriad",,
lesson_ja_l12_v5,大変,"tough, a real handful",,
lesson_ja_l12_v6,いろいろ,various; all sorts,,
lesson_ja_l12_v7,風,wind,,
lesson_ja_l12_v8,辺,area; around here; vicinity,,
lesson_ja_l12_v9,変わる,to change (by itself),,
lesson_ja_l12_v10,より,than; from,,
lesson_ja_l12_v11,つく,to arrive; to stick; to switch on,,
lesson_ja_l12_v12,やばい,dodgy — or brilliant; context decides,,
lesson_ja_l12_v13,学校,a school,,
lesson_ja_l12_v14,一応,technically; more or less,,
lesson_ja_l12_v15,うまい,tasty; skilful,,
lesson_ja_l12_v16,乗る,"to get on, to ride",,
lesson_ja_l12_v17,最初,"the first, the beginning",,
lesson_ja_l12_d0,それ高くない？,Isn't that expensive?,,
lesson_ja_l12_d1,一応、一番安いやつ。,"It's the cheapest one, technically.",,
lesson_ja_l12_d2,えー、やばい。,Whoa. That's rough.,,
lesson_ja_l12_d3,でしょ。でもうまいらしいよ。,"Right? Meant to be good, though.",,
lesson_ja_l13_0,仕事どう？,How's work?,,
lesson_ja_l13_1,それ、怖くない？,Isn't that scary?,,
lesson_ja_l13_2,昔はよく行ってた。,I used to go there a lot.,,
lesson_ja_l13_3,結局行かなかった。,In the end I didn't go.,,
lesson_ja_l13_v0,どちら,which way; which direction; where,,
lesson_ja_l13_v1,つける,to turn on; to attach,,
lesson_ja_l13_v2,終わる,"to end, to finish",,
lesson_ja_l13_v3,らしい,seeming ...; appearing ...; -ish,,
lesson_ja_l13_v4,下,"under, below",,
lesson_ja_l13_v5,なんか,like; sort of; something,,
lesson_ja_l13_v6,子供,a child,,
lesson_ja_l13_v7,会,meeting; assembly; party,,
lesson_ja_l13_v8,昔,"the old days, long ago",,
lesson_ja_l13_v9,せる,make someone do; let someone do,,
lesson_ja_l13_v10,悪い,bad; poor; undesirable,,
lesson_ja_l13_v11,怖い,scary; scared,,
lesson_ja_l13_v12,大きい,big,,
lesson_ja_l13_v13,仕事,"work, a job",,
lesson_ja_l13_v14,ただ,ordinary; common; usual,,
lesson_ja_l13_v15,可愛い,cute; adorable; charming,,
lesson_ja_l13_v16,めちゃ,super; really (casual),,
lesson_ja_l13_v17,結局,"in the end, after all",,
lesson_ja_l13_d0,仕事、何時に終わる？,What time do you finish work?,,
lesson_ja_l13_d1,今日はめちゃ遅い。九時とか。,Really late today. Like nine.,,
lesson_ja_l13_d2,うわ、それは悪いね。,"Ugh, that's rough.",,
lesson_ja_l13_d3,結局いつもこうなる。,It always ends up like this.,,
lesson_ja_l14_0,さっき言ったじゃん。,I literally just said that.,,
lesson_ja_l14_1,お金ないんだよね。,I haven't got the money.,,
lesson_ja_l14_2,次はいつ？,When's the next one?,,
lesson_ja_l14_3,例えば、これとか。,"Like this one, for instance.",,
lesson_ja_l14_v0,かかる,"to take (time, money)",,
lesson_ja_l14_v1,例えば,for example; for instance; e.g.,,
lesson_ja_l14_v2,もっと,more,,
lesson_ja_l14_v3,内,"within, inside",,
lesson_ja_l14_v4,さっき,"just now, a moment ago",,
lesson_ja_l14_v5,意味,meaning,,
lesson_ja_l14_v6,いろんな,various,,
lesson_ja_l14_v7,金,money,,
lesson_ja_l14_v8,小さい,small,,
lesson_ja_l14_v9,切る,to cut; to hang up,,
lesson_ja_l14_v10,三十,thirty; 30,,
lesson_ja_l14_v11,次,next,,
lesson_ja_l14_v12,お前,"you — blunt, close or rude",,
lesson_ja_l14_v13,最近,"recently, lately",,
lesson_ja_l14_v14,他,"other, another",,
lesson_ja_l14_v15,父,father (my own),,
lesson_ja_l14_v16,あー,ah; uhh,,
lesson_ja_l14_v17,ながら,while doing,,
lesson_ja_l14_d0,それ、いくらかかった？,How much did that run you?,,
lesson_ja_l14_d1,んー、三十くらいかな。,"Mm, thirty-ish?",,
lesson_ja_l14_d2,えー、高くない？,"Whoa, isn't that steep?",,
lesson_ja_l14_d3,でも最近どこもこんなもんだよ。,"It's like that everywhere lately, though.",,
lesson_ja_l15_0,それ、ほしい。,I want that.,,
lesson_ja_l15_1,名前、覚えてる？,Do you remember the name?,,
lesson_ja_l15_2,ちょっと無理かも。,That might not be doable.,,
lesson_ja_l15_3,どうぞ、座って。,"Please, have a seat.",,
lesson_ja_l15_v0,すぐ,straight away,,
lesson_ja_l15_v1,覚える,"to learn, to memorise",,
lesson_ja_l15_v2,見える,to be seen; to be in sight; to look,,
lesson_ja_l15_v3,二人,two people; the pair of them,,
lesson_ja_l15_v4,かける,to hang; to call (phone); to pour on,,
lesson_ja_l15_v5,大体,outline; main points; gist,,
lesson_ja_l15_v6,すぎる,to pass; to be too much,,
lesson_ja_l15_v7,なんて,things like; how (dismissive or surprised),,
lesson_ja_l15_v8,ママ,mama; mamma; mom,,
lesson_ja_l15_v9,ほしい,to want (a thing),,
lesson_ja_l15_v10,今度,this time; next time,,
lesson_ja_l15_v11,無理,impossible; not on,,
lesson_ja_l15_v12,おっ,oh! (noticing something),,
lesson_ja_l15_v13,どうぞ,"go ahead, here you are",,
lesson_ja_l15_v14,マジ,serious; not joking; straight,,
lesson_ja_l15_v15,オーケー,OK; all right,,
lesson_ja_l15_v16,この間,the other day; lately; recently,,
lesson_ja_l15_v17,昨日,yesterday,,
lesson_ja_l15_d0,これ、ちょっと見える？,Can you see this alright?,,
lesson_ja_l15_d1,んー、無理。小さすぎ。,Nope. Way too small.,,
lesson_ja_l15_d2,じゃあこっち。どうぞ。,"Here, then. Go ahead.",,
lesson_ja_l15_d3,マジで？ありがと。,Seriously? Thanks.,,
lesson_ja_l16_0,朝ご飯食べた？,Have you had breakfast?,,
lesson_ja_l16_1,安いのでいいよ。,A cheap one's fine.,,
lesson_ja_l16_2,また会おうね。,Let's meet again.,,
lesson_ja_l16_3,これ読んだ？,Have you read this?,,
lesson_ja_l16_v0,まま,as it is; as one likes; because,,
lesson_ja_l16_v1,ばあちゃん,grandma; old lady,,
lesson_ja_l16_v2,綺麗,pretty; lovely; beautiful,,
lesson_ja_l16_v3,いずれ,where; which; who,,
lesson_ja_l16_v4,会う,to meet; to encounter; to see,,
lesson_ja_l16_v5,最後,"the last, the end",,
lesson_ja_l16_v6,逆,"the opposite, the reverse",,
lesson_ja_l16_v7,ご飯,cooked rice; meal,,
lesson_ja_l16_v8,まず,first of all,,
lesson_ja_l16_v9,安い,cheap; inexpensive; calm,,
lesson_ja_l16_v10,あら,"oh! (mild surprise, softer)",,
lesson_ja_l16_v11,難しい,difficult,,
lesson_ja_l16_v12,朝,morning,,
lesson_ja_l16_v13,車,car; automobile; vehicle,,
lesson_ja_l16_v14,もし,"if, supposing",,
lesson_ja_l16_v15,願う,to desire; to wish; to hope,,
lesson_ja_l16_v16,手,hand; arm; forepaw,,
lesson_ja_l16_v17,読む,to read,,
lesson_ja_l16_d0,明日の朝、会える？,Can we meet tomorrow morning?,,
lesson_ja_l16_d1,朝はちょっと。夜は？,Morning's tricky. Evening?,,
lesson_ja_l16_d2,じゃあご飯食べよう。,"Let's get food, then.",,
lesson_ja_l16_d3,いいね。安いとこ知ってる。,Nice. I know a cheap place.,,
lesson_ja_l17_0,ここ痛い。,It hurts here.,,
lesson_ja_l17_1,会社まで歩いてる。,I walk to the office.,,
lesson_ja_l17_2,写真撮っていい？,Can I take a photo?,,
lesson_ja_l17_3,昨日寝てない。,I didn't sleep last night.,,
lesson_ja_l17_v0,五十,fifty; 50,,
lesson_ja_l17_v1,向こう,over there; the other side,,
lesson_ja_l17_v2,痛い,painful; ouch,,
lesson_ja_l17_v3,会社,company; corporation; workplace,,
lesson_ja_l17_v4,歩く,to walk,,
lesson_ja_l17_v5,そちら,that way; over there; you (polite),,
lesson_ja_l17_v6,写真,photograph; photo; picture,,
lesson_ja_l17_v7,食う,to eat — rough,,
lesson_ja_l17_v8,パパ,papa; dad; daddy,,
lesson_ja_l17_v9,友達,a friend,,
lesson_ja_l17_v10,とりあえず,"for now, to start with",,
lesson_ja_l17_v11,名前,a name,,
lesson_ja_l17_v12,売る,to sell,,
lesson_ja_l17_v13,しまう,to finish; to stop; to end,,
lesson_ja_l17_v14,目,eye; eyeball; eyesight,,
lesson_ja_l17_v15,きっと,"surely, I bet",,
lesson_ja_l17_v16,先,ahead; earlier; the tip,,
lesson_ja_l17_v17,寝る,"to sleep, to go to bed",,
lesson_ja_l17_d0,足痛い。もう歩けない。,My feet hurt. I can't walk any more.,,
lesson_ja_l17_d1,会社まであとちょっとだよ。,It's not far to the office now.,,
lesson_ja_l17_d2,とりあえず座りたい。,I just want to sit down.,,
lesson_ja_l17_d3,じゃあそこで。写真も撮ろう。,"Over there, then. Let's get a photo too.",,
lesson_ja_l18_0,頑張ってね。,Give it your best.,,
lesson_ja_l18_1,今年は楽しかった。,This year's been fun.,,
lesson_ja_l18_2,名前忘れちゃった。,I've gone and forgotten your name.,,
lesson_ja_l18_3,それ関係ないよ。,That's beside the point.,,
lesson_ja_l18_v0,よいしょ,heave-ho (said when lifting or sitting),,
lesson_ja_l18_v1,長い,long,,
lesson_ja_l18_v2,なさる,to do — honorific する,,
lesson_ja_l18_v3,あなた,you; dear; honey,,
lesson_ja_l18_v4,今年,this year,,
lesson_ja_l18_v5,顔,face; visage; look,,
lesson_ja_l18_v6,頑張る,"to do one’s best, to stick at it",,
lesson_ja_l18_v7,頃,around the time of,,
lesson_ja_l18_v8,関係,"a relationship, a connection",,
lesson_ja_l18_v9,間,between; the interval,,
lesson_ja_l18_v10,番,number (in a series); (one's) turn; watch,,
lesson_ja_l18_v11,語,language; word (suffix: 日本語),,
lesson_ja_l18_v12,度,"degree (angle, temperature, scale, etc.); counter for occurrences; strength (of glasses)",,
lesson_ja_l18_v13,楽しい,"fun, enjoyable",,
lesson_ja_l18_v14,変,"strange, odd",,
lesson_ja_l18_v15,忘れる,to forget; to leave behind,,
lesson_ja_l18_v16,ううん,no (casual),,
lesson_ja_l18_v17,茶,tea,,
lesson_ja_l18_d0,今年こそ頑張るわ。,This year I'm really going for it.,,
lesson_ja_l18_d1,へえ、何を？,Oh yeah? At what?,,
lesson_ja_l18_d2,忘れた。でも楽しいことにする。,"Forgot. Something fun, though.",,
lesson_ja_l18_d3,変な顔してるよ。,You're pulling a weird face.,,
